period,stock_code,start_date,end_date
2021-05-03,BBRI,2021-05-03,2021-08-02
2021-05-03,BBTN,2021-05-03,2021-08-02
2021-05-03,BMRI,2021-05-03,2021-08-02
2021-05-03,BSDE,2021-05-03,2021-08-02
2021-05-03,BTPS,2021-05-03,2021-08-02
2021-05-03,CPIN,2021-05-03,2021-08-02
2021-05-03,CTRA,2021-05-03,2021-08-02
2021-05-03,ERAA,2021-05-03,2021-08-02
2021-05-03,EXCL,2021-05-03,2021-08-02
2021-05-03,GGRM,2021-05-03,2021-08-02
2021-05-03,HMSP,2021-05-03,2021-08-02
2021-05-03,ICBP,2021-05-03,2021-08-02
2021-05-03,INCO,2021-05-03,2021-08-02
2021-05-03,INDF,2021-05-03,2021-08-02
2021-05-03,INKP,2021-05-03,2021-08-02
2021-05-03,INTP,2021-05-03,2021-08-02
2021-05-03,ITMG,2021-05-03,2021-08-02
2021-05-03,JPFA,2021-05-03,2021-08-02
2021-05-03,JSMR,2021-05-03,2021-08-02
2021-05-03,KLBF,2021-05-03,2021-08-02
2021-05-03,MDKA,2021-05-03,2021-08-02
2021-05-03,MEDC,2021-05-03,2021-08-02
2021-05-03,MIKA,2021-05-03,2021-08-02
2021-05-03,MNCN,2021-05-03,2021-08-02
2021-05-03,PGAS,2021-05-03,2021-08-02
2021-05-03,PTBA,2021-05-03,2021-08-02
2021-05-03,PTPP,2021-05-03,2021-08-02
2021-05-03,PWON,2021-05-03,2021-08-02
2021-05-03,SMGR,2021-05-03,2021-08-02
2021-05-03,SMRA,2021-05-03,2021-08-02
2021-05-03,TBIG,2021-05-03,2021-08-02
2021-05-03,TKIM,2021-05-03,2021-08-02
2021-05-03,TLKM,2021-05-03,2021-08-02
2021-05-03,TOWR,2021-05-03,2021-08-02
2021-05-03,TPIA,2021-05-03,2021-08-02
2021-05-03,UNTR,2021-05-03,2021-08-02
2021-05-03,UNVR,2021-05-03,2021-08-02
2021-05-03,WIKA,2021-05-03,2021-08-02
2021-08-02,ACES,2021-08-02,2021-09-29
2021-08-02,ADRO,2021-08-02,2021-09-29
2021-08-02,AKRA,2021-08-02,2021-09-29
2021-08-02,ANTM,2021-08-02,2021-09-29
2021-08-02,ASII,2021-08-02,2021-09-29
2021-08-02,BBCA,2021-08-02,2021-09-29
2021-08-02,BBNI,2021-08-02,2021-09-29
2021-08-02,BBRI,2021-08-02,2021-09-29
2021-08-02,BBTN,2021-08-02,2021-09-29
2021-08-02,BMRI,2021-08-02,2021-09-29
2021-08-02,BRPT,2021-08-02,2021-09-29
2021-08-02,BSDE,2021-08-02,2021-09-29
2021-08-02,CPIN,2021-08-02,2021-09-29
2021-08-02,ERAA,2021-08-02,2021-09-29
2021-08-02,EXCL,2021-08-02,2021-09-29
2021-08-02,GGRM,2021-08-02,2021-09-29
2021-08-02,HMSP,2021-08-02,2021-09-29
2021-08-02,ICBP,2021-08-02,2021-09-29
2021-08-02,INCO,2021-08-02,2021-09-29
2021-08-02,INDF,2021-08-02,2021-09-29
2021-08-02,INKP,2021-08-02,2021-09-29
2021-08-02,INTP,2021-08-02,2021-09-29
2021-08-02,ITMG,2021-08-02,2021-09-29
2021-08-02,JPFA,2021-08-02,2021-09-29
2021-08-02,JSMR,2021-08-02,2021-09-29
2021-08-02,KLBF,2021-08-02,2021-09-29
2021-08-02,MDKA,2021-08-02,2021-09-29
2021-08-02,MEDC,2021-08-02,2021-09-29
2021-08-02,MIKA,2021-08-02,2021-09-29
2021-08-02,MNCN,2021-08-02,2021-09-29
2021-08-02,PGAS,2021-08-02,2021-09-29
2021-08-02,PTBA,2021-08-02,2021-09-29
2021-08-02,PTPP,2021-08-02,2021-09-29
2021-08-02,PWON,2021-08-02,2021-09-29
2021-08-02,SMGR,2021-08-02,2021-09-29
2021-08-02,SMRA,2021-08-02,2021-09-29
2021-08-02,TBIG,2021-08-02,2021-09-29
2021-08-02,TINS,2021-08-02,2021-09-29
2021-08-02,TKIM,2021-08-02,2021-09-29
2021-08-02,TLKM,2021-08-02,2021-09-29
2021-08-02,TOWR,2021-08-02,2021-09-29
2021-08-02,TPIA,2021-08-02,2021-09-29
2021-08-02,UNTR,2021-08-02,2021-09-29
2021-08-02,UNVR,2021-08-02,2021-09-29
2021-08-02,WIKA,2021-08-02,2021-09-29
2021-09-29,ACES,2021-09-29,2021-11-01
2021-09-29,ADRO,2021-09-29,2021-11-01
2021-09-29,AKRA,2021-09-29,2021-11-01
2021-09-29,ANTM,2021-09-29,2021-11-01
2021-09-29,ASII,2021-09-29,2021-11-01
2021-09-29,BBCA,2021-09-29,2021-11-01
